institution,fiscal_year,study_level,gender,headcount
McMaster,2013-2014,Undergraduate,Male,10352
McMaster,2013-2014,Graduate,Female,1713
McMaster,2013-2014,Graduate,Male,1809
McMaster,2014-2015,Undergraduate,Female,12488
McMaster,2014-2015,Undergraduate,Male,10372
McMaster,2014-2015,Graduate,Female,1743
McMaster,2014-2015,Graduate,Male,1880
McMaster,2015-2016,Undergraduate,Female,13429
McMaster,2015-2016,Undergraduate,Male,11365
McMaster,2015-2016,Graduate,Female,1824
McMaster,2015-2016,Graduate,Male,1792
McMaster,2016-2017,Undergraduate,Female,14011
McMaster,2016-2017,Undergraduate,Male,11996
McMaster,2016-2017,Undergraduate,N/A or Another,0
McMaster,2016-2017,Graduate,Female,1936
McMaster,2016-2017,Graduate,Male,1879
McMaster,2017-2018,Undergraduate,Female,14452
McMaster,2017-2018,Undergraduate,Male,12082
McMaster,2017-2018,Undergraduate,N/A or Another,100
McMaster,2017-2018,Graduate,Female,1967
McMaster,2017-2018,Graduate,Male,1941
McMaster,2018-2019,Undergraduate,Female,15062
McMaster,2018-2019,Undergraduate,Male,12460
McMaster,2018-2019,Undergraduate,N/A or Another,197
McMaster,2018-2019,Graduate,Female,2142
McMaster,2018-2019,Graduate,Male,2028
McMaster,2018-2019,Graduate,N/A or Another,12
McMaster,2019-2020,Undergraduate,Female,15757
McMaster,2019-2020,Undergraduate,Male,12814
McMaster,2019-2020,Undergraduate,N/A or Another,263
McMaster,2019-2020,Graduate,Female,2289
McMaster,2019-2020,Graduate,Male,2056
McMaster,2019-2020,Graduate,N/A or Another,27
McMaster,2020-2021,Undergraduate,Female,16706
McMaster,2020-2021,Undergraduate,Male,13467
McMaster,2020-2021,Undergraduate,N/A or Another,387
McMaster,2020-2021,Graduate,Female,2288
McMaster,2020-2021,Graduate,Male,1889
McMaster,2020-2021,Graduate,N/A or Another,38
McMaster,2021-2022,Undergraduate,Female,17159
McMaster,2021-2022,Undergraduate,Male,13574
McMaster,2021-2022,Undergraduate,N/A or Another,436
McMaster,2021-2022,Graduate,Female,2406
McMaster,2021-2022,Graduate,Male,2023
McMaster,2021-2022,Graduate,N/A or Another,50
McMaster,2022-2023,Undergraduate,Female,17273
McMaster,2022-2023,Undergraduate,Male,13597
McMaster,2022-2023,Undergraduate,N/A or Another,505
McMaster,2022-2023,Graduate,Female,2489
McMaster,2022-2023,Graduate,Male,2129
McMaster,2022-2023,Graduate,N/A or Another,51
McMaster,2023-2024,Undergraduate,Female,17378
McMaster,2023-2024,Undergraduate,Male,13440
McMaster,2023-2024,Undergraduate,N/A or Another,557
McMaster,2023-2024,Graduate,Female,2545
McMaster,2023-2024,Graduate,Male,2209
McMaster,2023-2024,Graduate,N/A or Another,52
Metropolitan,2012-2013,Undergraduate,Female,11251
Metropolitan,2012-2013,Undergraduate,Male,9478
Metropolitan,2012-2013,Graduate,Female,910
Metropolitan,2012-2013,Graduate,Male,1073
Metropolitan,2012-2013,Graduate,N/A or Another,14
Metropolitan,2013-2014,Undergraduate,Female,12062
Metropolitan,2013-2014,Undergraduate,Male,9953
Metropolitan,2013-2014,Graduate,Female,955
Metropolitan,2013-2014,Graduate,Male,1026
Metropolitan,2014-2015,Undergraduate,Female,13528
Metropolitan,2014-2015,Undergraduate,Male,10877
Metropolitan,2014-2015,Graduate,Female,1021
Metropolitan,2014-2015,Graduate,Male,1033
Metropolitan,2014-2015,Graduate,N/A or Another,0
Metropolitan,2015-2016,Undergraduate,Female,14504
Metropolitan,2015-2016,Undergraduate,Male,11516
Metropolitan,2015-2016,Graduate,Female,1022
Metropolitan,2015-2016,Graduate,Male,1105
Metropolitan,2016-2017,Undergraduate,Female,15753
Metropolitan,2016-2017,Undergraduate,Male,11956
Metropolitan,2016-2017,Undergraduate,N/A or Another,31
Metropolitan,2016-2017,Graduate,Female,1123
Metropolitan,2016-2017,Graduate,Male,1133
Metropolitan,2016-2017,Graduate,N/A or Another,13
Metropolitan,2017-2018,Undergraduate,Female,16101
Metropolitan,2017-2018,Undergraduate,Male,12035
Metropolitan,2017-2018,Undergraduate,N/A or Another,126
Metropolitan,2017-2018,Graduate,Female,1178
Metropolitan,2017-2018,Graduate,Male,1141
Metropolitan,2017-2018,Graduate,N/A or Another,13
Metropolitan,2018-2019,Undergraduate,Female,16386
Metropolitan,2018-2019,Undergraduate,Male,12184
Metropolitan,2018-2019,Undergraduate,N/A or Another,262
Metropolitan,2018-2019,Graduate,Female,1256
Metropolitan,2018-2019,Graduate,Male,1132
Metropolitan,2018-2019,Graduate,N/A or Another,16
Metropolitan,2019-2020,Undergraduate,Female,16349
Metropolitan,2019-2020,Undergraduate,Male,12041
Metropolitan,2019-2020,Undergraduate,N/A or Another,317
Metropolitan,2019-2020,Graduate,Female,1352
Metropolitan,2019-2020,Graduate,Male,1215
Metropolitan,2020-2021,Undergraduate,Female,17655
Metropolitan,2020-2021,Undergraduate,Male,13300
Metropolitan,2020-2021,Undergraduate,N/A or Another,349
Metropolitan,2020-2021,Graduate,Female,1460
Metropolitan,2020-2021,Graduate,Male,1225
Metropolitan,2020-2021,Graduate,N/A or Another,16
Metropolitan,2021-2022,Undergraduate,Female,17996
Metropolitan,2021-2022,Undergraduate,Male,13445
Metropolitan,2021-2022,Undergraduate,N/A or Another,365
Metropolitan,2021-2022,Graduate,Female,1446
Metropolitan,2021-2022,Graduate,Male,1276
Metropolitan,2021-2022,Graduate,N/A or Another,16
Metropolitan,2022-2023,Undergraduate,Female,17104
Metropolitan,2022-2023,Undergraduate,Male,12888
Metropolitan,2022-2023,Undergraduate,N/A or Another,446
Metropolitan,2022-2023,Graduate,Female,1425
Metropolitan,2022-2023,Graduate,Male,1185
Metropolitan,2022-2023,Graduate,N/A or Another,28
Metropolitan,2023-2024,Undergraduate,Female,17280
Metropolitan,2023-2024,Undergraduate,Male,13387
Metropolitan,2023-2024,Undergraduate,N/A or Another,552
Metropolitan,2023-2024,Graduate,Female,1350
Metropolitan,2023-2024,Graduate,Male,1187
Metropolitan,2023-2024,Graduate,N/A or Another,60
Nipissing,2012-2013,Undergraduate,Female,2506
Nipissing,2012-2013,Undergraduate,Male,1166
Nipissing,2012-2013,Graduate,Female,54
Nipissing,2012-2013,Graduate,Male,40
Nipissing,2013-2014,Undergraduate,Female,2331
Nipissing,2013-2014,Undergraduate,Male,1088
Nipissing,2013-2014,Graduate,Female,63
Nipissing,2013-2014,Graduate,Male,38
Nipissing,2014-2015,Undergraduate,Female,2203
Nipissing,2014-2015,Undergraduate,Male,1081
Nipissing,2014-2015,Graduate,Female,94
Nipissing,2014-2015,Graduate,Male,41
Nipissing,2015-2016,Undergraduate,Female,2141
Nipissing,2015-2016,Undergraduate,Male,964
Nipissing,2015-2016,Graduate,Female,118
Nipissing,2015-2016,Graduate,Male,41
Nipissing,2016-2017,Undergraduate,Female,2123
Nipissing,2016-2017,Undergraduate,Male,964
Nipissing,2016-2017,Graduate,Female,108
Nipissing,2016-2017,Graduate,Male,36
Nipissing,2017-2018,Undergraduate,Female,2063
Nipissing,2017-2018,Undergraduate,Male,908
Nipissing,2017-2018,Undergraduate,N/A or Another,45
Nipissing,2017-2018,Graduate,Female,107
Nipissing,2017-2018,Graduate,Male,44
